name,id,cot_type,servertime
ICAO-34520B,39722614,a-n-A-C-F,201705071740
A8C802,39672618,a-n-A-C-F-m,201705071655
AA7C64,39718997,a-n-A-C-F-m,201705071730
C06A39,39794732,a-n-A-C-F-m,201705080845
ICAO-4D20B7,39771347,a-n-A-C-F,201705071950
C0193B,39728102,a-n-A-C-F-m,201705071745
ICAO-AA4548,39768696,a-n-A-C-F-m,201705071915
ABD19E,39662685,a-n-A-C-F-m,201705071645
A2F591,39685639,a-n-A-C-F-m,201705071705
ICAO-4BA893,39782721,a-n-A-C-F,201705080205
ICAO-A8AEF3,39772860,a-n-A-C-F-m,201705072015
A6082F,39697162,a-n-A-C-F-m,201705071715
A66E52,39720380,a-n-A-C-F-m,201705071735
ICAO-A1C9CD,39768509,a-n-A-C-F-m,201705071910
ICAO-A4F6DD,39723416,a-n-A-C-F-m,201705071740
AA75EF,39722013,a-n-A-C-F-m,201705071735
AD734A,39722779,a-n-A-C-F-m,201705071740
AA600A,39669642,a-n-A-C-F-m,201705071650
AAF183,39690562,a-n-A-C-F-m,201705071710
AA600A,39669634,a-n-A-C-F-m,201705071650
A71EFA,39673321,a-n-A-C-F-m,201705071655
ICAO-406891,39778495,a-n-A-C-F,201705072230
AD734A,39723654,a-n-A-C-F-m,201705071740
ICAO-06A0F9,39789573,a-n-A-C-F,201705080805
A96BA2,39689173,a-n-A-C-F-m,201705071705
ICAO-4006A8,39776779,a-n-A-C-F,201705072130
A12BCD,39726441,a-n-A-C-F-m,201705071745
345241,39758107,a-n-A-C-F-m,201705071805
ICAO-A11F9D,39776900,a-n-A-C-F-m,201705072130
ACC3B4,39800601,a-n-A-C-F-m,201705080850
ICAO-4006C1,39765078,a-n-A-C-F,201705071820
AB7B02,39664730,a-n-A-C-F-m,201705071645
ICAO-A89D59,39779128,a-n-A-C-F-m,201705072245
4BA956,39689906,a-n-A-C-F-m,201705071710
ICAO-4063E7,39772098,a-n-A-C-F,201705072005
ICAO-A33B52,39786202,a-n-A-C-F-s,201705080640
ICAO-7100C8,39764317,a-n-A-C-F,201705071815
A8C802,39666155,a-n-A-C-F-m,201705071645
A71EFA,39675338,a-n-A-C-F-m,201705071655
A836FB,39684281,a-n-A-C-F-m,201705071705
A96BA2,39699179,a-n-A-C-F-m,201705071715
ACCA88,39793198,a-n-A-C-F-m,201705080845
ICAO-47C5C7,39781359,a-n-A-C-F,201705072345
AD8BED,39733549,a-n-A-C-F-m,201705071750
A63665,39679915,a-n-A-C-F-m,201705071700
A8C802,39667626,a-n-A-C-F-m,201705071650
AA600A,39665137,a-n-A-C-F-m,201705071645
AA7C64,39719964,a-n-A-C-F-m,201705071730
A2F591,39686818,a-n-A-C-F-m,201705071705
ABF826,39690557,a-n-A-C-F-m,201705071710
ABA7B0,39666628,a-n-A-C-F-m,201705071650
AB7B02,39666403,a-n-A-C-F-m,201705071650
A836FB,39682103,a-n-A-C-F-m,201705071700
C01EF7,39753663,a-n-A-C-F-m,201705071800
ICAO-A0B550,39784993,a-n-A-C-F-m,201705080620
AB7B02,39673259,a-n-A-C-F-m,201705071655
A6A7DC,39657750,a-n-A-C-F-m,201705071635
A262A9,39677194,a-n-A-C-F-m,201705071655
A791C0,39760194,a-n-A-C-F-m,201705071805
A87904,39704870,a-n-A-C-F-m,201705071720
ICAO-4CAA33,39715182,a-n-A-C-F,201705071725
ICAO-4D20B7,39771080,a-n-A-C-F,201705071950
3C64EC,39721260,a-n-A-C-F-m,201705071735
ICAO-020123,39657632,a-n-A-C-F,201705071635
A43EA6,39686998,a-n-A-C-F-m,201705071705
ICAO-AA4195,39780402,a-n-A-C-F-m,201705072315
A791C0,39763203,a-n-A-C-F-m,201705071810
AB7B02,39669900,a-n-A-C-F-m,201705071650
AB5BF0,39735381,a-n-A-C-F-m,201705071755
ICAO-AB856C,39768835,a-n-A-C-F-m,201705071925
A66E52,39720134,a-n-A-C-F-m,201705071730
A48681,39688992,a-n-A-C-F-m,201705071705
ICAO-4CAAFB,39763850,a-n-A-C-F,201705071810
AB1971,39698325,a-n-A-C-F-m,201705071715
ICAO-A6FF58,39791739,a-n-A-C-F-s,201705080840
3C64EC,39722707,a-n-A-C-F-m,201705071740
ICAO-A71F24,39784680,a-n-A-C-F-m,201705080610
ICAO-A14BDE,39790599,a-n-A-C-F-m,201705080825
A66E52,39717325,a-n-A-C-F-m,201705071730
A96BA2,39692057,a-n-A-C-F-m,201705071710
ICAO-AA6B9D,39773323,a-n-A-C-F-m,201705072020
ABA7B0,39664233,a-n-A-C-F-m,201705071645
A8C802,39665198,a-n-A-C-F-m,201705071645
A9B85B,39724905,a-n-A-C-F-m,201705071740
AD8BED,39732762,a-n-A-C-F-m,201705071750
A6A7DC,39657815,a-n-A-C-F-m,201705071635
ICAO-A6A7DC,39767091,a-n-A-C-F-m,201705071900
A84D62,39763289,a-n-A-C-F-m,201705071810
ABF17F,39795246,a-n-A-C-F-m,201705080845
A35AAE,39717698,a-n-A-C-F-m,201705071730
A2DCEE,39726264,a-n-A-C-F-m,201705071745
ABA7B0,39665091,a-n-A-C-F-m,201705071645
ICAO-A0B550,39784770,a-n-A-C-F-m,201705080615
A9C737,39726011,a-n-A-C-F-m,201705071745
3C64EC,39716857,a-n-A-C-F-m,201705071730
C06A39,39687269,a-n-A-C-F-m,201705071705
A96BA2,39688836,a-n-A-C-F-m,201705071705
AA8B40,39695736,a-n-A-C-F-m,201705071710
C06A39,39795176,a-n-A-C-F-m,201705080845
A262A9,39682426,a-n-A-C-F-m,201705071700
AA8B40,39698069,a-n-A-C-F-m,201705071715
A9B85B,39721963,a-n-A-C-F-m,201705071735
ICAO-406B12,39777220,a-n-A-C-F,201705072140
A2F591,39682840,a-n-A-C-F-m,201705071700
ICAO-A8B9B3,39776974,a-n-A-C-F-m,201705072135
AB62F8,39793381,a-n-A-C-F-m,201705080845
A8299A,39677629,a-n-A-C-F-m,201705071655
AD734A,39723992,a-n-A-C-F-m,201705071740
AA600A,39663634,a-n-A-C-F-m,201705071645
ICAO-406B12,39777221,a-n-A-C-F,201705072140
A8A3CE,39732714,a-n-A-C-F-m,201705071750
A66E52,39718959,a-n-A-C-F-m,201705071730
A85119,39796759,a-n-A-C-F-m,201705080845
AA6F46,39714089,a-n-A-C-F-m,201705071725
A8C802,39669120,a-n-A-C-F-m,201705071650
A66E52,39717169,a-n-A-C-F-m,201705071730
AA6F46,39713529,a-n-A-C-F-m,201705071725
AAF183,39690364,a-n-A-C-F-m,201705071710
AB1971,39700090,a-n-A-C-F-m,201705071715
AA7E7C,39676713,a-n-A-C-F-m,201705071655
A65527,39700841,a-n-A-C-F-m,201705071715
A63665,39682831,a-n-A-C-F-m,201705071700
ICAO-A1804C,39785189,a-n-A-C-F-m,201705080625
C01EF7,39761594,a-n-A-C-F-m,201705071805
C06A39,39682842,a-n-A-C-F-m,201705071700
ICAO-AA44AC,39768220,a-n-A-C-F-m,201705071910
A1D10C,39660142,a-n-A-C-F-m,201705071640
A6A7DC,39657819,a-n-A-C-F-m,201705071635
AB4BA6,39688128,a-n-A-C-F-m,201705071705
A63665,39683665,a-n-A-C-F-m,201705071700
ICAO-A94B0A,39788467,a-n-A-C-F-m,201705080745
ICAO-A967EB,39785264,a-n-A-C-F-m,201705080630
C06A39,39796654,a-n-A-C-F-m,201705080845
A7FED0,39703838,a-n-A-C-F-m,201705071720
ICAO-4843F3,39764795,a-n-A-C-F,201705071820
AA7E7C,39678018,a-n-A-C-F-m,201705071655
AA7E7C,39670486,a-n-A-C-F-m,201705071650
ICAO-AACFBE,39770451,a-n-A-C-F-m,201705071940
A8C802,39670668,a-n-A-C-F-m,201705071650
AA7C64,39717980,a-n-A-C-F-m,201705071730
A7FED0,39702125,a-n-A-C-F-m,201705071715
AA8B40,39695189,a-n-A-C-F-m,201705071710
42423F,39664147,a-n-A-C-F-m,201705071645
ABA7B0,39662873,a-n-A-C-F-m,201705071645
ICAO-AB856C,39768879,a-n-A-C-F-m,201705071925
ICAO-A8B760,39771927,a-n-A-C-F-m,201705072000
AA8B40,39688847,a-n-A-C-F-m,201705071705
AA600A,39664280,a-n-A-C-F-m,201705071645
ABF826,39701729,a-n-A-C-F-m,201705071715
ICAO-A24CE0,39718046,a-n-A-C-F-m,201705071730
AD9712,39707296,a-n-A-C-F-m,201705071720
ICAO-A8AEF3,39773036,a-n-A-C-F-m,201705072015
ICAO-A6FF58,39791098,a-n-A-C-F-s,201705080835
A8299A,39673942,a-n-A-C-F-m,201705071655
ICAO-A18403,39766613,a-n-A-C-F-m,201705071855
AD8BED,39738545,a-n-A-C-F-m,201705071755
ICAO-47C5C9,39768980,a-n-A-C-F,201705071925
A98ED9,39718259,a-n-A-C-F-m,201705071730
C0193B,39730939,a-n-A-C-F-m,201705071750
A8299A,39669302,a-n-A-C-F-m,201705071650
A71EFA,39673577,a-n-A-C-F-m,201705071655
ICAO-AB6800,39787839,a-n-A-C-F-m,201705080725
ICAO-4067F8,39775244,a-n-A-C-F,201705072040
AB7B02,39669116,a-n-A-C-F-m,201705071650
A3FF61,39733086,a-n-A-C-F-m,201705071750
AB23B5,39715709,a-n-A-C-F-m,201705071725
ABA7B0,39666335,a-n-A-C-F-m,201705071650
ICAO-A98F6A,39764472,a-n-A-C-F-m,201705071815
A7FED0,39706275,a-n-A-C-F-m,201705071720
ICAO-AAABF6,39771472,a-n-A-C-F-m,201705071950
ICAO-AAABF6,39771277,a-n-A-C-F-m,201705071950
ICAO-A2FBEC,39775880,a-n-A-C-F-m,201705072050
ICAO-AD2445,39772301,a-n-A-C-F-m,201705072010
A98ED9,39708769,a-n-A-C-F-m,201705071720
A63665,39682780,a-n-A-C-F-m,201705071700
ICAO-AB856C,39769079,a-n-A-C-F-m,201705071925
C0193B,39732701,a-n-A-C-F-m,201705071750
ICAO-3C7201,39768668,a-n-A-C-F,201705071915
A63665,39674487,a-n-A-C-F-m,201705071655
AD8C4C,39760733,a-n-A-C-F-m,201705071805
A8A3CE,39727200,a-n-A-C-F-m,201705071745
A85119,39800593,a-n-A-C-F-m,201705080850
A8A3CE,39730514,a-n-A-C-F-m,201705071750
ICAO-A89D59,39779048,a-n-A-C-F-m,201705072240
A96BA2,39690495,a-n-A-C-F-m,201705071710
A8C802,39668542,a-n-A-C-F-m,201705071650
A2F591,39686209,a-n-A-C-F-m,201705071705
A3EE1F,39657106,a-n-A-C-F-m,201705071635
AA56B6,39709469,a-n-A-C-F-m,201705071720
C01EF7,39757393,a-n-A-C-F-m,201705071805
AA600A,39665375,a-n-A-C-F-m,201705071645
ABF826,39694273,a-n-A-C-F-m,201705071710
ICAO-AA4548,39768527,a-n-A-C-F-m,201705071910
A87904,39702344,a-n-A-C-F-m,201705071715
A3FF61,39735252,a-n-A-C-F-m,201705071755
ICAO-AB355C,39791759,a-n-A-C-F-m,201705080840
AD846F,39749861,a-n-A-C-F-m,201705071800
A45091,39751135,a-n-A-C-F-m,201705071800
C06A39,39686217,a-n-A-C-F-m,201705071705
ICAO-A98539,39768403,a-n-A-C-F-m,201705071910
AA7E7C,39675841,a-n-A-C-F-m,201705071655
A80287,39758797,a-n-A-C-F-m,201705071805
A6082F,39697250,a-n-A-C-F-m,201705071715
A8299A,39673339,a-n-A-C-F-m,201705071655
A8299A,39669413,a-n-A-C-F-m,201705071650
A7FED0,39708179,a-n-A-C-F-m,201705071720
ICAO-A0F828,39780440,a-n-A-C-F-m,201705072315
C0410E,39726873,a-n-A-C-F-m,201705071745
ICAO-4CAAFB,39763904,a-n-A-C-F,201705071810
AA6F46,39715610,a-n-A-C-F-m,201705071725
ICAO-06A0F9,39789432,a-n-A-C-F,201705080805
AA6F46,39712493,a-n-A-C-F-m,201705071725
A84D62,39754710,a-n-A-C-F-m,201705071800
ICAO-A967EB,39785800,a-n-A-C-F-m,201705080635
ICAO-A39BFA,39780863,a-n-A-C-F-m,201705072335
A84D62,39752402,a-n-A-C-F-m,201705071800
A7FED0,39702655,a-n-A-C-F-m,201705071715
ICAO-A71F24,39780141,a-n-A-C-F-m,201705072305
A3EE1F,39657557,a-n-A-C-F-m,201705071635
A791C0,39754328,a-n-A-C-F-m,201705071800
AAF183,39685616,a-n-A-C-F-m,201705071705
ICAO-4D2130,39780265,a-n-A-C-F,201705072310
ICAO-4BA893,39782808,a-n-A-C-F,201705080205
A9B85B,39724050,a-n-A-C-F-m,201705071740
ICAO-47C5C7,39781228,a-n-A-C-F,201705072345
ICAO-42426C,39779827,a-n-A-C-F,201705072250
AC71DD,39759676,a-n-A-C-F-m,201705071805
C06A39,39681985,a-n-A-C-F-m,201705071700
ICAO-ABD627,39764404,a-n-A-C-F-m,201705071815
A8299A,39678680,a-n-A-C-F-m,201705071700
AA60AF,39710782,a-n-A-C-F-m,201705071725
AD846F,39739527,a-n-A-C-F-m,201705071755
ICAO-4841AD,39782332,a-n-A-C-F,201705080030
AA6F46,39714073,a-n-A-C-F-m,201705071725
AA8B40,39694323,a-n-A-C-F-m,201705071710
