course0, level_500, person40, spring_0001
course80, level_400, person180, spring_0001
course80, level_400, person98, spring_0102
course80, level_400, person98, spring_0203
course80, level_400, person101, spring_0304
course82, level_400, person407, winter_0102
course84, level_500, person324, winter_0203
course88, level_500, person235, winter_0304
course89, level_400, person394, winter_0203
course89, level_400, person394, winter_0304
course9, level_500, person235, winter_0304
course91, level_500, person331, spring_0304
course93, level_400, person351, spring_0102
course97, level_400, person324, spring_0304
course98, level_500, person103, winter_0102
